Login,Role,Standard Role,Role Base Name,Role Group
victor.pedrazzi,Developer,Developer - Sr,Developer,4 - Senior
victor.piekarczyk,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
victor.reis,Developer,Developer - Sr,Developer,4 - Senior
victor.santos,Tester,QA - Jr,QA,2 - Junior
victor.yuzo,Developer,Developer - Sr,Developer,4 - Senior
victorbc,Developer,Developer - Mid,Developer,3 - Mid-Level
victorbrito,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
victord,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
victordalosto,Developer,Developer - Sr,Developer,4 - Senior
victords,Developer,Developer - Mid,Developer,3 - Mid-Level
victorferraz,Developer,Developer - Mid,Developer,3 - Mid-Level
victorfreitas,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
victorg,Developer,Developer - Sr,Developer,4 - Senior
victorgv,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
victorhartung,Developer,Developer - Jr,Developer,2 - Junior
victorhc,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
victorhda,Developer,Developer - Mid,Developer,3 - Mid-Level
victorhn,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
victorho,Developer,Developer - Sr,Developer,4 - Senior
victorhs,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
victoria.krupp,Tester,QA - Sr,QA,4 - Senior
victoriabm,Developer,Developer - Sr,Developer,4 - Senior
victoriah,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
victoriapp,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
victoriareis,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
victorjr,Technical Leader,Software Architect - Sr,Software Architect,4 - Senior
victorks,Developer,Developer - Mid,Developer,3 - Mid-Level
victorl,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
victorlb,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
victorlobo,Developer,Developer - Sr,Developer,4 - Senior
victorls,Developer,Developer - Sr,Developer,4 - Senior
victormacedo,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
victornunes,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
victorpb,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
victorsantos,Developer,Developer - Sr,Developer,4 - Senior
victorsouza,Developer,Developer - Sr,Developer,4 - Senior
victort,Developer,Developer - Jr,Developer,2 - Junior
victorwo,Developer,Developer - Mid,Developer,3 - Mid-Level
vincent,Project Manager,Project Manager,Project Manager,5 - Master / Manager
vinicius.alves,Information Security Expert,Developer - Master,Developer,5 - Master / Manager
vinicius.geraldo,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
vinicius.levorato,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
vinicius.martins,Tester,QA - Mid,QA,3 - Mid-Level
vinicius.santos,Developer,Developer - Sr,Developer,4 - Senior
vinicius.silva,Developer,Intern,Intern,1 - Intern
vinicius.souza,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
viniciusalmeida,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
viniciusalonso,UX Designer,UX Specialist - Sr,UX Specialist,4 - Senior
viniciusaraujo,Tester,QA - Jr,QA,2 - Junior
viniciusassis,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
viniciusaugusto,Developer,Developer - Sr,Developer,4 - Senior
viniciusbarbosa,Developer,Developer - Mid,Developer,3 - Mid-Level
viniciusbn,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
viniciusbs,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
viniciuscs,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
viniciusdf,Developer,Developer - Sr,Developer,4 - Senior
viniciusds,Developer,Developer - Mid,Developer,3 - Mid-Level
viniciusec,Developer,Intern,Intern,1 - Intern
viniciusgm,Developer,Developer - Sr,Developer,4 - Senior
viniciusgp,Developer,Developer - Sr,Developer,4 - Senior
viniciusla,Developer,Developer - Jr,Developer,2 - Junior
viniciusmarques,Developer,Developer - Sr,Developer,4 - Senior
viniciusos,Developer,Developer - Sr,Developer,4 - Senior
viniciusph,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
viniciuspinheiro,Developer,Developer - Sr,Developer,4 - Senior
viniciuspl,Tester,QA - Jr,QA,2 - Junior
viniciusrondini,DevOps,Not Applicable,Not Applicable,3 - Mid-Level
viniciusrv,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
viniciussc,Developer,Developer - Mid,Developer,3 - Mid-Level
viniciussn,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
viniciussouza,Developer,Developer - Sr,Developer,4 - Senior
viniciussr,Developer,Developer - Sr,Developer,4 - Senior
viniciusss,Developer,Developer - Mid,Developer,3 - Mid-Level
viniciusst,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
viniciusta,Developer,Developer - Mid,Developer,3 - Mid-Level
viniciusxavier,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
virginias,Developer,Developer - Mid,Developer,3 - Mid-Level
vitor.barreira,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
vitor.cardoso,Developer,Intern,Intern,1 - Intern
vitor.ramos,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
vitorbarroso,Developer,Developer - Sr,Developer,4 - Senior
vitorc,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
vitorcardoso,Tester Master,QA - Master,QA,5 - Master / Manager
vitords,Developer,Developer - Mid,Developer,3 - Mid-Level
vitoremanuel,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
vitoreuzebio,Developer,Developer - Sr,Developer,4 - Senior
vitorfs,Developer,Developer - Sr,Developer,4 - Senior
vitorgl,Developer,Developer - Jr,Developer,2 - Junior
vitoriacds,Developer,Developer - Jr,Developer,2 - Junior
vitoriaf,Developer,Intern,Intern,1 - Intern
vitorianascimento,Tester,QA - Mid,QA,3 - Mid-Level
vitoriat,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
vitormd,Developer,Developer - Mid,Developer,3 - Mid-Level
vitormds,Developer,Developer - Mid,Developer,3 - Mid-Level
vitormoises,Developer,Developer - Mid,Developer,3 - Mid-Level
vitorpaulo,Developer,Developer - Mid,Developer,3 - Mid-Level
vitorrangel,Developer,Developer - Mid,Developer,3 - Mid-Level
vitorreck,Developer,Developer - Jr,Developer,2 - Junior
vitorribeiro,Developer,Developer - Sr,Developer,4 - Senior
vitors,Tester,QA - Mid,QA,3 - Mid-Level
vitorsaad,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
vitorsiqueira,Developer,Developer - Mid,Developer,3 - Mid-Level
vitorst,Developer,Developer - Sr,Developer,4 - Senior
vitorv,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
vitorvieira,Developer,Developer - Mid,Developer,3 - Mid-Level
vivian.maciel,Not Applicable,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
viviana.ortiz,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
vivianabp,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
viviane.lima,Tester,QA - Sr,QA,4 - Senior
vivianecr,Developer,Developer - Jr,Developer,2 - Junior
vivianeluiza,Scrum Master,Scrum Master,Scrum Master,4 - Senior
vivianoliveira,Squad Leader,Scrum Master,Scrum Master,4 - Senior
vjansen,Developer,Developer - Sr,Developer,4 - Senior
vjhepherson,Developer,Developer - Sr,Developer,4 - Senior
vkaillo,Developer,Developer - Sr,Developer,4 - Senior
vkajiyama,Developer,Developer - Sr,Developer,4 - Senior
vkalmazan,Developer,Developer - Mid,Developer,3 - Mid-Level
vkaterine,Developer,Developer - Jr,Developer,2 - Junior
vloureiro,Developer,Developer - Mid,Developer,3 - Mid-Level
vlousada,Developer,Developer - Jr,Developer,2 - Junior
vmagalhaes,Tester,QA - Mid,QA,3 - Mid-Level
vmartinez,Developer,Developer - Sr,Developer,4 - Senior
vmartins,Developer,Intern,Intern,1 - Intern
vmattos,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
vmazzeo,Developer,Developer - Sr,Developer,4 - Senior
vmiranda,Developer,Developer - Mid,Developer,3 - Mid-Level
vmolina,Developer,Developer - Mid,Developer,3 - Mid-Level
vmonteglione,Developer,Developer - Mid,Developer,3 - Mid-Level
vmontenegro,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
vmoraes,Squad Leader,Scrum Master,Scrum Master,4 - Senior
vmorais,Developer,Developer - Sr,Developer,4 - Senior
vmouza,Developer,Developer - Mid,Developer,3 - Mid-Level
vmunhoz,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
vnatalia,Tester,QA - Mid,QA,3 - Mid-Level
vneves,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
vnobrega,Scrum Master,Scrum Master,Scrum Master,4 - Senior
votoni,Developer,Developer - Mid,Developer,3 - Mid-Level
vpatzdorf,Developer,Developer - Sr,Developer,4 - Senior
vpaulino,Developer,Developer - Jr,Developer,2 - Junior
vpavao,Developer,Developer - Mid,Developer,3 - Mid-Level
vpaz,Developer,Developer - Jr,Developer,2 - Junior
vpedroso,Tester,QA - Sr,QA,4 - Senior
vpelicari,"Senior Director, Technology",Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
vpezzo,Developer,Developer - Sr,Developer,4 - Senior
vpfeifer,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
vpierre,Developer,Developer - Mid,Developer,3 - Mid-Level
vpimentel,Developer,Developer - Sr,Developer,4 - Senior
vpoldi,Developer,Developer - Mid,Developer,3 - Mid-Level
vpoltronieri,Developer,Developer - Sr,Developer,4 - Senior
vporto,Developer,Developer - Sr,Developer,4 - Senior
vprestes,Developer,Developer - Jr,Developer,2 - Junior
vquadros,Developer,Developer - Mid,Developer,3 - Mid-Level
